Group,Subject,Time (s),Correlation (Fisher Z)
Males PRE,M503,0.0,0.5994
Males PRE,M503,1.957,0.6312
Males PRE,M503,3.913,0.6206
Males PRE,M503,5.87,0.6152
Males PRE,M503,7.827,0.6584
Males PRE,M503,9.783,0.7262
Males PRE,M503,11.74,0.7588
Males PRE,M504,0.0,0.6802
Males PRE,M504,1.957,0.6539
Males PRE,M504,3.913,0.6716
Males PRE,M504,5.87,0.6989
Males PRE,M504,7.827,0.7034
Males PRE,M504,9.783,0.7402
Males PRE,M504,11.74,0.7711
Males PRE,M502,0.0,1.0108
Males PRE,M502,1.957,1.0219
Males PRE,M502,3.913,1.0311
Males PRE,M502,5.87,1.0689
Males PRE,M502,7.827,1.0592
Males PRE,M502,9.783,1.063
Males PRE,M502,11.74,1.061
Males PRE,M505,0.0,0.6098
Males PRE,M505,1.957,0.5939
Males PRE,M505,3.913,0.3869
Males PRE,M505,5.87,0.425
Males PRE,M505,7.827,0.4204
Males PRE,M505,9.783,0.379
Males PRE,M505,11.74,0.3505
Males PRE,M506,0.0,1.0282
Males PRE,M506,1.957,0.9944
Males PRE,M506,3.913,0.9734
Males PRE,M506,5.87,0.9683
Males PRE,M506,7.827,0.9521
Males PRE,M506,9.783,0.9776
Males PRE,M506,11.74,0.9987
Males POST,M503,0.0,0.2196
Males POST,M503,1.957,0.198
Males POST,M503,3.913,0.2112
Males POST,M503,5.87,0.2165
Males POST,M503,7.827,0.2131
Males POST,M503,9.783,0.2199
Males POST,M503,11.74,0.1784
Males POST,M503,13.697,0.1812
Males POST,M503,15.654,0.1646
Males POST,M504,0.0,0.9857
Males POST,M504,1.957,0.9942
Males POST,M504,3.913,0.9937
Males POST,M504,5.87,0.9592
Males POST,M504,7.827,0.8293
Males POST,M504,9.783,0.8337
Males POST,M504,11.74,0.9076
Males POST,M504,13.697,0.9817
Males POST,M504,15.654,0.9627
Males POST,M502,0.0,1.1465
Males POST,M502,1.957,1.1499
Males POST,M502,3.913,1.1348
Males POST,M502,5.87,1.1315
Males POST,M502,7.827,1.1704
Males POST,M502,9.783,1.1446
Males POST,M502,11.74,1.1189
Males POST,M502,13.697,1.0755
Males POST,M502,15.654,1.0239
Males POST,M505,0.0,0.4859
Males POST,M505,1.957,0.4805
Males POST,M505,3.913,0.4826
Males POST,M505,5.87,0.4702
Males POST,M505,7.827,0.4555
Males POST,M505,9.783,0.4305
Males POST,M505,11.74,0.4015
Males POST,M505,13.697,0.3723
Males POST,M506,0.0,0.8732
Males POST,M506,1.957,0.8916
Males POST,M506,3.913,0.9586
Males POST,M506,5.87,1.0348
Males POST,M506,7.827,0.9782
Males POST,M506,9.783,0.9694
Males POST,M506,11.74,0.9715
Males POST,M506,13.697,0.9716
Females PRE,M509,0.0,0.7911
Females PRE,M509,1.957,0.8171
Females PRE,M509,3.913,0.8633
Females PRE,M509,5.87,0.843
Females PRE,M509,7.827,0.7744
Females PRE,M509,9.783,0.7769
Females PRE,M511,0.0,0.993
Females PRE,M511,1.957,0.9618
Females PRE,M511,3.913,0.9364
Females PRE,M511,5.87,0.9258
Females PRE,M511,7.827,0.9177
Females PRE,M511,9.783,0.9243
Females PRE,M512,0.0,0.5392
Females PRE,M512,1.957,0.513
Females PRE,M512,3.913,0.5836
Females PRE,M512,5.87,0.6807
Females PRE,M512,7.827,0.7885
Females PRE,M512,9.783,0.7331
Females PRE,M513,0.0,0.5769
Females PRE,M513,1.957,0.6438
Females PRE,M513,3.913,0.6667
Females PRE,M513,5.87,0.6893
Females PRE,M513,7.827,0.6897
Females PRE,M513,9.783,0.7011
Females PRE,M520,0.0,0.3451
Females PRE,M520,1.957,0.3701
Females PRE,M520,3.913,0.3895
Females PRE,M520,5.87,0.3252
Females PRE,M520,7.827,0.2916
Females PRE,M520,9.783,0.2693
Females POST,M509,0.0,0.2689
Females POST,M509,1.957,0.2665
Females POST,M509,3.913,0.2658
Females POST,M509,5.87,0.318
Females POST,M509,7.827,0.3202
Females POST,M509,9.783,0.3195
Females POST,M511,0.0,0.9278
Females POST,M511,1.957,0.9595
Females POST,M511,3.913,0.9606
Females POST,M511,5.87,0.9162
Females POST,M511,7.827,0.94
Females POST,M511,9.783,0.9567
Females POST,M512,0.0,0.5783
Females POST,M512,1.957,0.5415
Females POST,M512,3.913,0.5357
Females POST,M512,5.87,0.5748
Females POST,M512,7.827,0.5264
Females POST,M512,9.783,0.6474
Females POST,M513,0.0,0.0915
Females POST,M513,1.957,0.0847
Females POST,M513,3.913,0.1031
Females POST,M513,5.87,0.1669
Females POST,M513,7.827,0.2013
Females POST,M513,9.783,0.2256
Females POST,M520,0.0,0.087
Females POST,M520,1.957,0.0914
Females POST,M520,3.913,0.0744
Females POST,M520,5.87,0.0533
Females POST,M520,7.827,0.0384
Females POST,M520,9.783,0.0408
